Step,Group Test,Group Control,Group No Participation
 Completion Rate step_1,0.7824310137972406,0.7543927151468514,0.7722712680577849
 Completion Rate step_2,0.7251049790041991,0.6632037963319225,0.6996890048154093
 Completion Rate step_3,0.7062087582483503,0.6340900346287034,0.6765650080256822
 Completion Rate confirm,0.6712282543491301,0.5849685776580736,0.6365870786516854
