,Group Test,Group Control,Group No Participation
start,0.21756898620275944,0.24560728485314864,0.2277287319422151
step_1,0.07326656763620681,0.12087725263515811,0.09398545076643285
step_2,0.026059979317476733,0.04389866563527364,0.03304896408344684
step_3,0.04953280951369717,0.07746763754045308,0.05908956109134045
